Date,Open,High,Low,Close,Adj Close,Volume
03-06-2021,110,110.5,107.900002,108.650002,107.312904,38360946
04-06-2021,109.099998,109.099998,107,108.150002,106.819061,19048139
07-06-2021,109,115,108.300003,113.349998,111.955063,95358858
08-06-2021,114.400002,119.199997,114,117.050003,115.609535,93023993
09-06-2021,120.75,132.699997,119,124.650002,123.116005,360661838
10-06-2021,128,130.399994,125.099998,127.599998,126.029694,140351463
11-06-2021,128.75,128.75,124.25,125.699997,124.153076,62530141
14-06-2021,126.25,126.25,116.599998,123.400002,121.881386,86326236
15-06-2021,125,125.599998,121.699997,122.150002,120.646767,45450324
16-06-2021,122,127.900002,120.150002,125.949997,124.400002,84445896
17-06-2021,123.949997,126.900002,122.300003,123.949997,123.949997,73801920
18-06-2021,124.349998,124.699997,116.949997,121.449997,121.449997,73972898
21-06-2021,118.199997,124,117.949997,123.300003,123.300003,44593802
22-06-2021,124.199997,125.099998,120.900002,121.449997,121.449997,44246677
23-06-2021,122.5,123.199997,120.550003,120.75,120.75,29338636
24-06-2021,120.75,121.449997,118.199997,118.849998,118.849998,28009357
25-06-2021,119.900002,122.599998,119.550003,121.099998,121.099998,25945027
28-06-2021,122,123.5,120.800003,122.550003,122.550003,27616278
29-06-2021,122.949997,124.75,121.75,122.800003,122.800003,30981874
30-06-2021,123.400002,123.900002,121.699997,122.099998,122.099998,30099781
01-07-2021,122.800003,122.800003,121,121.349998,121.349998,18570986
02-07-2021,122,122.599998,120.599998,120.949997,120.949997,22789936
05-07-2021,121.949997,126.900002,121.75,125.900002,125.900002,61606669
06-07-2021,126,126.5,122.050003,123,123,31062811
07-07-2021,123,124.5,122.150002,123.849998,123.849998,19773453
08-07-2021,124.099998,126.849998,122.400002,123.400002,123.400002,33870196
09-07-2021,123,124.800003,121.699997,124.449997,124.449997,24078290
12-07-2021,126,126.300003,123.449997,123.800003,123.800003,26731429
13-07-2021,124.199997,125.25,122.949997,124.050003,124.050003,19316578
14-07-2021,125,126,124.099998,124.550003,124.550003,23276074
15-07-2021,124.849998,126.5,124.150002,124.449997,124.449997,22522585
16-07-2021,125.400002,125.400002,123.650002,124.150002,124.150002,13479996
19-07-2021,126.25,128.449997,124.599998,125.800003,125.800003,65614163
